#pgII [uA] data read from database by pab Ltd "mountain"
#see http://bsdf.pab.eu for pgII gonio-photometer and BSDF details
#mountain-version	"pab mountain V3.2.3"
#database-host	pgdb
#database-name	pabpg
#measured_at	"2018-01-16 01:21:28"
#data_read_from_db	"2018-03-01 17:28:53"
#database_id	1472
#datapoints_in_db	128121
#database_reference_id	0
#integrated_value	0.026	6.3
#sample_label	"goldpaper0"
#sample_name	"Golden_glossy_paper"
#lamp	"xenon"
#beamshape	"det,f=300,a=1"
#filterlamp	"none"
#filterdet	"none"
#comment	"(null)"
#mcomment	"$Id: allmess.c,v 3.21 2017/10/21 18:12:11 apian Exp apian $daq serial[0]="016"(offn)|optfile=python-wjakob|userdata=$Header: /usr/local/pab_pg/etc/RCS/userdata.pgII-epfl,v 1.15 2017/12/22 19:45:57 pgadmin Exp pgadmin $|cxtcounter=yes|bl_armB=0|daq_ss=100|speedbend=(0,0)|pawait=30|minspacing=-1|lamp_cycles=17 poweron=8414 [h] last_change=951 [min]"
#dbfilter	""
#column	daq
#dump-host	pgII-epfl
#incident_angle	26.8421	0
#intheta	26.8421
#inphi	0
#front_integral	0.0263
#incident_and_front_integral	26.8421	0	0.0263
#mountain_minimum_angle	0.0014 [deg]
#datapoints_in_file	127039
#format: theta	phi	[uA]
87.95171	40.01651	-2.061e-06
87.93671	39.98611	1.088e-06
87.92280	39.95712	2.005e-06
87.90719	39.92531	-1.974e-06
87.89222	39.89563	-1.879e-07
87.87485	39.86029	-7.689e-06
87.86148	39.83273	-2.748e-06
87.84702	39.80376	7.060e-06
87.82928	39.76414	-2.354e-06
87.81670	39.74086	4.594e-06
87.80160	39.71049	-7.563e-07
87.78643	39.67940	1.072e-05
87.77076	39.64833	8.719e-06
87.75502	39.61655	6.648e-06
87.73911	39.58262	-9.107e-07
87.72460	39.55439	1.622e-06
87.70822	39.52120	3.769e-06
87.69353	39.49083	8.516e-06
87.67597	39.45554	1.046e-05
87.66016	39.42377	8.852e-06
87.64608	39.39554	8.063e-06
87.63139	39.36589	1.138e-05
87.61466	39.32914	4.289e-06
87.60017	39.30237	7.816e-06
87.58318	39.26922	1.332e-05
87.56900	39.24028	1.498e-05
87.55244	39.20641	7.608e-06
87.53447	39.16756	7.020e-06
87.51992	39.14080	9.814e-06
87.50447	39.10905	1.135e-05
87.48978	39.08086	6.206e-06
87.47382	39.04913	8.373e-06
87.45655	39.01386	1.225e-05
87.44172	38.98425	3.237e-06
87.42326	38.94687	6.460e-06
87.40896	38.91796	1.297e-05
87.39331	38.88479	1.068e-05
87.37693	38.85525	9.994e-06
87.36087	38.82354	1.486e-05
87.34351	38.78829	1.116e-05
87.32853	38.75798	1.399e-05
87.31047	38.72060	1.250e-05
87.29453	38.69106	1.922e-05
87.27957	38.66147	1.292e-05
87.26281	38.62836	1.417e-05
87.24654	38.59524	1.393e-05
87.22919	38.56145	9.616e-06
87.21178	38.52694	1.439e-05
87.19626	38.49738	1.114e-05
87.17757	38.46006	1.700e-05
87.16315	38.43190	1.054e-05
87.14618	38.39739	9.002e-06
87.12813	38.36220	9.510e-06
87.11137	38.33055	1.353e-05
87.09566	38.29958	1.151e-05
87.07857	38.26436	1.257e-05
87.06058	38.23062	1.477e-05
87.04488	38.20037	1.199e-05
87.02612	38.16380	9.719e-06
87.01041	38.13356	7.273e-06
86.99194	38.09481	1.720e-05
86.97468	38.06464	1.891e-05
86.95761	38.03088	1.384e-05
86.94179	37.99994	1.244e-05
86.92236	37.96268	1.815e-05
86.90707	37.93243	1.327e-05
86.88831	37.89731	1.546e-05
86.87244	37.86638	1.233e-05
86.85477	37.83265	2.013e-05
86.83755	37.79819	1.050e-05
86.81930	37.76377	2.342e-05
86.80223	37.73147	1.522e-05
86.78325	37.69493	9.990e-06
86.76609	37.66191	1.993e-05
86.74835	37.62820	1.320e-05
86.72990	37.59237	1.667e-05
86.71213	37.55867	1.465e-05
86.69555	37.52707	1.768e-05
86.67712	37.49197	1.949e-05
86.65656	37.45049	1.675e-05
86.64014	37.42105	1.914e-05
86.62357	37.39018	1.875e-05
86.60323	37.35158	1.599e-05
86.58663	37.32071	1.147e-05
86.56753	37.28493	9.284e-06
86.55078	37.25264	2.039e-05
86.53281	37.21826	2.434e-05
86.51360	37.18177	1.309e-05
86.49514	37.14813	2.155e-05
86.47719	37.11447	1.393e-05
86.45607	37.07448	1.593e-05
86.43930	37.04293	2.380e-05
86.42124	37.00856	1.204e-05
86.40271	36.97493	1.296e-05
86.38462	36.94057	2.132e-05
86.36658	36.90693	1.640e-05
86.34614	36.86980	1.403e-05
86.32793	36.83473	1.528e-05
86.30649	36.79264	1.984e-05
86.29059	36.76608	2.281e-05
86.26931	36.72614	1.154e-05
86.25189	36.69463	2.279e-05
86.23375	36.66101	1.988e-05
86.21429	36.62458	2.341e-05
86.19431	36.58818	1.874e-05
86.17671	36.55525	1.548e-05
86.15662	36.51814	2.756e-05
86.13783	36.48384	1.975e-05
86.11713	36.44604	1.868e-05
86.09953	36.41385	2.336e-05
86.07874	36.37535	1.832e-05
86.06060	36.34318	1.831e-05
86.04042	36.30609	1.689e-05
86.02147	36.27110	2.047e-05
86.00060	36.23261	2.439e-05
85.98103	36.19693	2.138e-05
85.96210	36.16266	1.783e-05
85.92105	36.08854	2.341e-05
85.90325	36.05566	2.668e-05
85.86086	35.97946	2.759e-05
85.84315	35.94802	2.359e-05
85.82148	35.90816	2.525e-05
85.78079	35.83477	1.975e-05
85.76297	35.80263	2.354e-05
85.74269	35.76701	2.076e-05
85.72299	35.73209	2.155e-05
85.70129	35.69297	2.313e-05
85.68142	35.65662	3.434e-05
85.66160	35.62100	2.161e-05
85.63932	35.58191	2.206e-05
85.62133	35.54907	1.841e-05
85.60088	35.51277	2.366e-05
85.58033	35.47575	1.858e-05
85.55384	35.42683	2.240e-05
85.53875	35.40247	1.645e-05
85.51689	35.36337	2.293e-05
85.49635	35.32709	1.893e-05
85.47581	35.29080	2.127e-05
85.45256	35.24891	1.932e-05
85.43466	35.21825	9.089e-06
85.41272	35.17917	2.245e-05
85.39330	35.14427	3.186e-05
85.36984	35.10096	2.476e-05
85.34942	35.06684	2.505e-05
85.33002	35.03267	2.522e-05
85.30875	34.99573	2.453e-05
85.28671	34.95667	1.437e-05
85.26241	34.91126	2.312e-05
85.24326	34.87996	2.401e-05
85.22244	34.84300	1.962e-05
85.20244	34.80888	2.690e-05
85.18032	34.76984	2.161e-05
85.15953	34.73360	2.583e-05
85.13670	34.69316	2.708e-05
85.11528	34.65625	2.117e-05
85.09566	34.62139	2.087e-05
85.07323	34.58022	2.273e-05
85.04865	34.53917	2.447e-05
85.03035	34.50713	2.674e-05
85.00559	34.46466	2.300e-05
84.98718	34.43190	2.482e-05
84.96133	34.38446	2.669e-05
84.94137	34.35252	2.453e-05
84.91973	34.31492	2.571e-05
84.89815	34.27804	2.562e-05
84.87648	34.24044	3.183e-05
84.85487	34.20356	2.026e-05
84.83172	34.16246	3.237e-05
84.81129	34.12696	1.833e-05
84.78765	34.08661	2.711e-05
84.76651	34.04971	3.289e-05
84.73717	33.99674	2.628e-05
84.72234	33.97388	2.944e-05
84.69994	33.93562	2.392e-05
84.67666	33.89454	3.222e-05
84.65430	33.85701	2.254e-05
84.63245	33.81945	3.079e-05
84.60659	33.77493	2.766e-05
84.58662	33.74014	2.844e-05
84.56412	33.70190	2.423e-05
84.53850	33.65521	2.820e-05
84.51827	33.62333	3.379e-05
84.49702	33.58718	2.960e-05
84.47306	33.54616	2.476e-05
84.45100	33.50791	3.223e-05
84.42902	33.47037	3.044e-05
84.40500	33.42936	2.608e-05
84.38166	33.38976	2.330e-05
84.35900	33.35155	2.798e-05
84.33708	33.31041	3.069e-05
84.31409	33.27439	2.758e-05
84.29140	33.23619	3.133e-05
84.26711	33.19377	3.020e-05
84.24429	33.15485	3.290e-05
84.22154	33.11667	2.695e-05
84.19675	33.07500	2.612e-05
84.17388	33.03610	3.341e-05
84.15099	32.99721	3.253e-05
84.12810	32.95831	3.474e-05
84.10509	32.91870	3.133e-05
84.08224	32.88053	3.031e-05
84.05524	32.83470	2.698e-05
84.03563	32.80136	3.552e-05
84.01195	32.76109	3.511e-05
83.98629	32.71806	3.856e-05
83.96265	32.67850	2.710e-05
83.93954	32.63891	3.659e-05
83.91728	32.60216	3.602e-05
83.89310	32.55831	3.738e-05
83.86768	32.51816	3.310e-05
83.84601	32.48209	3.351e-05
83.82219	32.44184	3.268e-05
83.79702	32.39951	3.649e-05
83.77203	32.35428	4.018e-05
83.74804	32.31766	3.943e-05
83.72683	32.28156	3.012e-05
83.69891	32.23510	4.167e-05
83.67838	32.20040	2.912e-05
83.64723	32.14549	3.937e-05
83.62727	32.11582	4.290e-05
83.60329	32.07559	4.487e-05
83.58128	32.03812	2.885e-05
83.55728	31.99789	4.004e-05
83.52396	31.93953	3.590e-05
83.50797	31.91609	3.854e-05
83.48392	31.87587	4.423e-05
83.45922	31.83498	3.842e-05
83.43378	31.79269	3.689e-05
83.40825	31.74969	3.826e-05
83.38142	31.70534	3.141e-05
83.35936	31.66860	3.619e-05
83.33513	31.62768	4.108e-05
83.31096	31.58748	4.483e-05
83.28470	31.54382	3.508e-05
83.26195	31.50641	3.368e-05
83.23710	31.46554	3.117e-05
83.21214	31.42395	3.499e-05
83.18654	31.38169	4.068e-05
83.15964	31.33808	4.468e-05
83.13672	31.29997	4.104e-05
83.11170	31.25839	3.503e-05
83.08666	31.21682	3.226e-05
83.06097	31.17457	3.686e-05
83.03607	31.13444	3.288e-05
83.00954	31.09009	3.569e-05
82.98580	31.05059	3.926e-05
82.95940	31.00768	4.264e-05
82.93435	30.96683	3.717e-05
82.90929	30.92599	4.040e-05
82.88403	30.88372	3.817e-05
82.85829	30.84221	3.667e-05
82.82771	30.78875	4.147e-05
82.80448	30.75429	3.897e-05
82.77924	30.71275	4.104e-05
82.75546	30.67399	3.678e-05
82.73009	30.63173	4.066e-05
82.70206	30.58605	3.846e-05
82.67822	30.54730	4.514e-05
82.64812	30.49888	3.802e-05
82.62628	30.46288	3.878e-05
82.59975	30.41636	3.783e-05
82.57354	30.37707	4.782e-05
82.54816	30.33554	4.480e-05
82.52211	30.29334	3.969e-05
82.49596	30.25042	4.560e-05
82.46666	30.20050	4.349e-05
82.44305	30.16463	4.058e-05
82.41481	30.11898	3.822e-05
82.38868	30.07678	4.532e-05
82.36318	30.03527	4.529e-05
82.33083	29.97979	4.401e-05
82.30872	29.94743	4.960e-05
82.28465	29.90871	4.009e-05
82.25686	29.86302	4.026e-05
82.23138	29.82223	4.666e-05
82.19530	29.76052	4.556e-05
82.17803	29.73576	4.325e-05
82.14897	29.68945	4.300e-05
82.12463	29.64930	5.003e-05
82.09711	29.60214	5.187e-05
82.06995	29.56221	5.206e-05
82.03922	29.51241	3.772e-05
82.01492	29.47298	4.921e-05
81.98844	29.43009	4.895e-05
81.95561	29.37755	4.820e-05
81.93490	29.34437	5.014e-05
81.90839	29.30149	5.026e-05
81.87904	29.25448	4.856e-05
81.85334	29.21371	4.363e-05
81.82536	29.16876	4.088e-05
81.79607	29.12248	4.427e-05
81.76816	29.07826	4.152e-05
81.74154	29.03538	5.249e-05
81.71575	28.99462	5.146e-05
81.68770	28.94969	5.171e-05
81.66038	28.90614	4.980e-05
81.63023	28.85847	4.989e-05
81.60297	28.81565	5.388e-05
81.57616	28.77206	5.000e-05
81.54660	28.72507	4.478e-05
81.51854	28.68086	5.417e-05
81.49112	28.63732	5.228e-05
