#pgII [uA] data read from database by pab Ltd "mountain"
#see http://bsdf.pab.eu for pgII gonio-photometer and BSDF details
#mountain-version	"pab mountain V3.2.3"
#database-host	pgdb
#database-name	pabpg
#measured_at	"2018-01-16 01:21:28"
#data_read_from_db	"2018-03-01 17:28:53"
#database_id	1472
#datapoints_in_db	128121
#database_reference_id	0
#integrated_value	0.026	6.3
#sample_label	"goldpaper0"
#sample_name	"Golden_glossy_paper"
#lamp	"xenon"
#beamshape	"det,f=300,a=1"
#filterlamp	"none"
#filterdet	"none"
#comment	"(null)"
#mcomment	"$Id: allmess.c,v 3.21 2017/10/21 18:12:11 apian Exp apian $daq serial[0]="016"(offn)|optfile=python-wjakob|userdata=$Header: /usr/local/pab_pg/etc/RCS/userdata.pgII-epfl,v 1.15 2017/12/22 19:45:57 pgadmin Exp pgadmin $|cxtcounter=yes|bl_armB=0|daq_ss=100|speedbend=(0,0)|pawait=30|minspacing=-1|lamp_cycles=17 poweron=8414 [h] last_change=951 [min]"
#dbfilter	""
#column	daq
#dump-host	pgII-epfl
#incident_angle	26.8421	0
#intheta	26.8421
#inphi	0
#front_integral	0.0263
#incident_and_front_integral	26.8421	0	0.0263
#mountain_minimum_angle	0.0014 [deg]
#datapoints_in_file	127039
#format: theta	phi	[uA]
88.01640	139.09724	3.529e-05
88.09631	139.28969	2.941e-05
88.20472	139.56313	2.042e-05
88.26630	139.69241	1.325e-05
88.34577	139.87943	2.777e-05
88.42674	140.06709	1.858e-05
88.51266	140.28127	3.261e-05
88.59538	140.45580	2.630e-05
88.67210	140.63010	3.462e-05
88.76192	140.83464	2.247e-05
88.84588	141.02245	3.032e-05
88.94149	141.25191	2.881e-05
89.01320	141.39557	2.964e-05
89.09759	141.58232	8.618e-06
89.18511	141.77402	2.248e-05
89.27206	141.96342	1.470e-05
89.38303	142.21744	2.481e-05
89.45670	142.36063	2.942e-05
89.53683	142.53244	2.338e-05
89.63123	142.73291	2.290e-05
89.71889	142.91817	3.858e-05
89.82108	143.13274	2.510e-05
89.89672	143.29123	2.468e-05
89.99366	143.49194	2.500e-05
89.91815	-79.18172	8.647e-06
89.70860	-79.10570	7.886e-06
89.52836	-79.04094	5.790e-06
89.32202	-78.96751	1.105e-05
89.08501	-78.88411	5.028e-06
88.93600	-78.83217	9.915e-06
88.72525	-78.75936	6.488e-06
88.53204	-78.69331	6.265e-06
88.34603	-78.63034	5.771e-06
88.14416	-78.56269	4.643e-06
87.95032	-78.49837	1.686e-05
87.72121	-78.42313	3.814e-06
87.49951	-78.35025	8.885e-06
87.30431	-78.28753	1.118e-05
87.15269	-78.24031	6.681e-06
86.95634	-78.17840	5.616e-06
86.74465	-78.11243	3.686e-06
86.55902	-78.05521	3.558e-06
86.35227	-77.99207	1.436e-05
86.15807	-77.93342	7.532e-06
85.96221	-77.87486	4.445e-06
85.76077	-77.81534	6.089e-06
85.55158	-77.75421	7.686e-06
85.29418	-77.67868	8.341e-06
85.15836	-77.64117	5.843e-06
84.95992	-77.58508	1.209e-05
84.75900	-77.52892	1.105e-05
84.55870	-77.47355	8.049e-06
84.27425	-77.39461	7.295e-06
84.15524	-77.36391	7.057e-06
83.95507	-77.31050	7.912e-06
83.74263	-77.25441	1.677e-05
83.51892	-77.19466	1.218e-05
83.34616	-77.15159	9.064e-06
83.13082	-77.09676	1.391e-05
82.94585	-77.05025	1.352e-05
82.73384	-76.99767	1.120e-05
82.53559	-76.94899	1.262e-05
82.32170	-76.89724	1.182e-05
82.12010	-76.84893	1.647e-05
81.93353	-76.80489	1.210e-05
81.73146	-76.75776	1.523e-05
81.46120	-76.69395	1.769e-05
81.30611	-76.66045	1.720e-05
81.12128	-76.61900	2.211e-05
80.91841	-76.57424	1.692e-05
80.70716	-76.52802	1.705e-05
80.47633	-76.47839	1.523e-05
80.30634	-76.44232	1.280e-05
80.08977	-76.39706	1.966e-05
79.87234	-76.35220	1.725e-05
79.66309	-76.30763	2.064e-05
79.47415	-76.27184	2.143e-05
79.28806	-76.23504	1.425e-05
79.08247	-76.19492	1.019e-05
78.86815	-76.15379	1.053e-05
78.62244	-76.10523	2.101e-05
78.46622	-76.07843	8.763e-06
78.26158	-76.04090	1.261e-05
78.02959	-75.99902	1.012e-05
77.85190	-75.96753	1.247e-05
77.64159	-75.93056	1.169e-05
77.42236	-75.89291	9.951e-06
77.21871	-75.85839	1.427e-05
77.02735	-75.82658	1.377e-05
76.81396	-75.79172	1.073e-05
76.60978	-75.75900	1.107e-05
76.37286	-75.72145	1.727e-05
76.18658	-75.69254	1.583e-05
75.99324	-75.66293	1.663e-05
75.78005	-75.63103	1.728e-05
75.56198	-75.59913	7.667e-06
75.35568	-75.56938	1.139e-05
75.15080	-75.54044	1.087e-05
74.95605	-75.51344	1.437e-05
74.72739	-75.48238	1.282e-05
74.52147	-75.45493	1.559e-05
74.33117	-75.43007	2.038e-05
74.11069	-75.40210	5.983e-05
73.90600	-75.37654	1.108e-04
73.61839	-75.33871	1.562e-04
73.49541	-75.32706	1.554e-04
73.27155	-75.30089	1.575e-04
73.07825	-75.27894	1.599e-04
72.86118	-75.25484	1.628e-04
72.65670	-75.23265	1.666e-04
72.41419	-75.20708	1.788e-04
72.22600	-75.18789	1.735e-04
72.02998	-75.16819	1.740e-04
71.81395	-75.14728	1.726e-04
71.60657	-75.12772	1.801e-04
71.38329	-75.10728	1.860e-04
71.18915	-75.09012	1.893e-04
70.97925	-75.07189	1.907e-04
70.69621	-75.04842	1.913e-04
70.53989	-75.03600	1.832e-04
70.33041	-75.01974	1.929e-04
70.13516	-75.00509	1.979e-04
69.92483	-74.98976	1.974e-04
69.70957	-74.97479	1.976e-04
69.46555	-74.95865	2.088e-04
69.27551	-74.94662	2.110e-04
69.06795	-74.93397	2.100e-04
68.86030	-74.92188	2.144e-04
68.63752	-74.90947	2.177e-04
68.42574	-74.89838	2.243e-04
68.23136	-74.88879	2.228e-04
67.75094	-74.86694	2.254e-04
67.59292	-74.86073	2.310e-04
67.34559	-74.85145	2.355e-04
66.92990	-74.83738	2.427e-04
66.74061	-74.83193	2.497e-04
66.53217	-74.82635	2.467e-04
66.32125	-74.82136	2.560e-04
66.08213	-74.81670	2.496e-04
65.88142	-74.80926	2.549e-04
65.68149	-74.81030	2.550e-04
65.43661	-74.80762	2.639e-04
65.26050	-74.80621	2.623e-04
65.04833	-74.80503	2.688e-04
64.82898	-74.80434	2.727e-04
64.62072	-74.80443	2.743e-04
64.41241	-74.80512	2.795e-04
64.16628	-74.80692	2.862e-04
63.98518	-74.80850	2.826e-04
63.76713	-74.81113	2.830e-04
63.55776	-74.81447	2.967e-04
63.34746	-74.81857	2.922e-04
63.12283	-74.82337	3.017e-04
62.91330	-74.82865	3.035e-04
62.70671	-74.83492	3.046e-04
62.48020	-74.84210	3.085e-04
62.28591	-74.84863	3.110e-04
62.06158	-74.85738	3.180e-04
61.82684	-74.86253	3.155e-04
61.62991	-74.87592	3.237e-04
61.43621	-74.88503	3.284e-04
61.22324	-74.89552	3.249e-04
61.00031	-74.90780	3.391e-04
60.74598	-74.91779	3.373e-04
60.58281	-74.93224	3.451e-04
60.35595	-74.94659	3.468e-04
60.16049	-74.95946	3.491e-04
59.93828	-74.97514	3.507e-04
59.72985	-74.99032	3.578e-04
59.50430	-75.00795	3.615e-04
59.30789	-75.02359	3.658e-04
59.09766	-75.04124	3.743e-04
58.88583	-75.05965	3.688e-04
58.63695	-75.08219	3.759e-04
58.42667	-75.10207	3.814e-04
58.23351	-75.12054	3.827e-04
58.02407	-75.14154	3.927e-04
57.78934	-75.16120	3.931e-04
57.59140	-75.18745	3.944e-04
57.40047	-75.20857	4.059e-04
57.18682	-75.23328	4.074e-04
56.97491	-75.25825	4.118e-04
56.73817	-75.28668	4.121e-04
56.53114	-75.31248	4.209e-04
56.33603	-75.33788	4.219e-04
56.11135	-75.36729	4.302e-04
55.91167	-75.39407	4.283e-04
55.68124	-75.42622	4.373e-04
55.48560	-75.45392	4.463e-04
55.27372	-75.48501	4.453e-04
55.04977	-75.51868	4.589e-04
54.84035	-75.55096	4.574e-04
54.63197	-75.58326	4.646e-04
54.38710	-75.62301	4.724e-04
54.21006	-75.65204	4.674e-04
53.99754	-75.68783	4.830e-04
53.77858	-75.72562	4.812e-04
53.56856	-75.76257	4.957e-04
53.36100	-75.79980	4.984e-04
53.13321	-75.84196	5.036e-04
52.93303	-75.87926	5.090e-04
52.71507	-75.92107	5.131e-04
52.48981	-75.96546	5.210e-04
52.29530	-76.00417	5.160e-04
52.08245	-76.04698	5.306e-04
51.86951	-76.09115	5.370e-04
51.56786	-76.14914	5.445e-04
51.42680	-76.18601	5.439e-04
51.23002	-76.22939	5.543e-04
51.01737	-76.27668	5.668e-04
50.78827	-76.32256	5.720e-04
50.57343	-76.37941	5.731e-04
50.37925	-76.42554	5.877e-04
50.16593	-76.47694	5.972e-04
49.95266	-76.52926	6.029e-04
49.73285	-76.58480	6.105e-04
49.50924	-76.64188	6.164e-04
49.31631	-76.69143	6.307e-04
49.08796	-76.75200	6.289e-04
48.88856	-76.80572	6.366e-04
48.60568	-76.87608	6.494e-04
48.46193	-76.92363	6.544e-04
48.25085	-76.98299	6.640e-04
48.03814	-77.04430	6.744e-04
47.82548	-77.10661	6.786e-04
47.60720	-77.17213	6.887e-04
47.36448	-77.24541	6.909e-04
47.18800	-77.29995	7.025e-04
46.97564	-77.36656	7.135e-04
46.75626	-77.43633	7.204e-04
46.53285	-77.50916	7.361e-04
46.32092	-77.57856	7.404e-04
46.12656	-77.64328	7.511e-04
45.91537	-77.71557	7.577e-04
45.69717	-77.79123	7.742e-04
45.47509	-77.86953	7.779e-04
45.26350	-77.94527	7.926e-04
45.06860	-78.01649	7.988e-04
44.84926	-78.09745	8.179e-04
44.64037	-78.17574	8.210e-04
44.41716	-78.26144	8.284e-04
44.22438	-78.33601	8.452e-04
44.00223	-78.42374	8.546e-04
43.78685	-78.50151	8.648e-04
43.55695	-78.60329	8.781e-04
43.38186	-78.67620	8.974e-04
43.17224	-78.76368	8.970e-04
42.52632	-79.04433	9.329e-04
42.33529	-79.12969	9.574e-04
41.47941	-79.52766	1.016e-03
41.26691	-79.63099	1.021e-03
41.01461	-79.75508	1.034e-03
40.84111	-79.84138	1.048e-03
40.63232	-79.94729	1.067e-03
40.42207	-80.05615	1.072e-03
40.21992	-80.16174	1.090e-03
40.03203	-80.26123	1.106e-03
39.80261	-80.37592	1.115e-03
39.62527	-80.48255	1.139e-03
39.38790	-80.61427	1.148e-03
39.20367	-80.71889	1.174e-03
39.00177	-80.83446	1.185e-03
38.75400	-80.96835	1.208e-03
38.59703	-81.07111	1.227e-03
38.37776	-81.20315	1.242e-03
38.18911	-81.31757	1.246e-03
37.98508	-81.44376	1.266e-03
37.71213	-81.60467	1.289e-03
37.55681	-81.71459	1.316e-03
37.35508	-81.84473	1.326e-03
37.16811	-81.96822	1.348e-03
36.96450	-82.10355	1.367e-03
36.72715	-82.26495	1.387e-03
36.52408	-82.40439	1.402e-03
36.34196	-82.53159	1.424e-03
36.14314	-82.67292	1.456e-03
35.94463	-82.81532	1.476e-03
35.73191	-82.96989	1.503e-03
35.53228	-83.11914	1.522e-03
35.32777	-83.27242	1.548e-03
35.13713	-83.41909	1.577e-03
34.89461	-83.59517	1.597e-03
34.72419	-83.74134	1.609e-03
34.54284	-83.88627	1.639e-03
34.34431	-84.04729	1.669e-03
34.14525	-84.21253	1.691e-03
33.92857	-84.39288	1.717e-03
33.74529	-84.54921	1.752e-03
33.53303	-84.73240	1.776e-03
33.33765	-84.90405	1.806e-03
33.14415	-85.07594	1.831e-03
32.93674	-85.26364	1.869e-03
32.73944	-85.44501	1.885e-03
32.54548	-85.62650	1.920e-03
32.36161	-85.80016	1.951e-03
32.13259	-86.00793	1.982e-03
31.95255	-86.19741	2.032e-03
31.77495	-86.37363	2.053e-03
31.57772	-86.57301	2.097e-03
31.38314	-86.77279	2.125e-03
31.13879	-87.01303	2.168e-03
30.97621	-87.20040	2.195e-03
30.78520	-87.40535	2.229e-03
30.60697	-87.60091	2.279e-03
30.40516	-87.82484	2.304e-03
30.21762	-88.03700	2.352e-03
30.01246	-88.27181	2.391e-03
29.82372	-88.49289	2.428e-03
29.63618	-88.71577	2.472e-03
29.43995	-88.93742	2.510e-03
29.26260	-89.17103	2.553e-03
29.07656	-89.40229	2.606e-03
28.87323	-89.65953	2.657e-03
28.68828	-89.89884	2.707e-03
28.50316	-90.14176	2.749e-03
28.30448	-90.40713	2.795e-03
28.11842	-90.66045	2.849e-03
27.94699	-90.89901	2.902e-03
27.76135	-91.15966	2.954e-03
27.57078	-91.43236	3.015e-03
27.37670	-91.71567	3.068e-03
27.19164	-91.99123	3.124e-03
27.01277	-92.26212	3.183e-03
26.82384	-92.53509	3.234e-03
26.62614	-92.86295	3.318e-03
26.44594	-93.15174	3.355e-03
26.28205	-93.41891	3.420e-03
26.11472	-93.69690	3.481e-03
25.92915	-94.00963	3.552e-03
25.74104	-94.33297	3.645e-03
25.56381	-94.64365	3.699e-03
25.40065	-94.93486	3.770e-03
25.20118	-95.29864	3.845e-03
25.00250	-95.64751	3.915e-03
24.85707	-95.94451	3.984e-03
24.68468	-96.27843	4.061e-03
24.51702	-96.60889	4.141e-03
24.35613	-96.93431	4.217e-03
24.17023	-97.31443	4.322e-03
24.00026	-97.67226	4.391e-03
23.84642	-98.00166	4.491e-03
23.67890	-98.36765	4.577e-03
23.50544	-98.75365	4.660e-03
23.33124	-99.15015	4.784e-03
23.15338	-99.56622	4.849e-03
23.00600	-99.91488	4.950e-03
22.85490	-100.28340	5.049e-03
22.66477	-100.72997	5.156e-03
22.53057	-101.09458	5.266e-03
22.36098	-101.53442	5.377e-03
22.20637	-101.94440	5.491e-03
22.05934	-102.34201	5.621e-03
21.90013	-102.78438	5.725e-03
21.74843	-103.21293	5.882e-03
21.59827	-103.65077	5.973e-03
21.43837	-104.12495	6.098e-03
21.29008	-104.57496	6.227e-03
21.08371	-105.19313	6.379e-03
20.99009	-105.52180	6.498e-03
20.84439	-105.99731	6.648e-03
20.70398	-106.46716	6.787e-03
20.54219	-106.99295	6.929e-03
20.41370	-107.47596	7.151e-03
20.28892	-107.92711	7.243e-03
20.14140	-108.47165	7.408e-03
20.00426	-108.99566	7.559e-03
19.84281	-109.59117	7.732e-03
19.73569	-110.05843	7.910e-03
19.60594	-110.59241	8.079e-03
19.48705	-111.09332	8.268e-03
19.34347	-111.71721	8.454e-03
19.22346	-112.25478	8.677e-03
19.10048	-112.82059	8.833e-03
18.97913	-113.39202	9.044e-03
18.86282	-113.96040	9.250e-03
18.73736	-114.54626	9.462e-03
18.62997	-115.14143	9.708e-03
18.52189	-115.71680	9.883e-03
18.40243	-116.36971	1.013e-02
18.30103	-116.94632	1.037e-02
18.19016	-117.59133	1.059e-02
18.07934	-118.25926	1.084e-02
17.97679	-118.89886	1.107e-02
17.87840	-119.53354	1.133e-02
17.78613	-120.14703	1.163e-02
17.68796	-120.82675	1.187e-02
17.59545	-121.48684	1.215e-02
17.50454	-122.15864	1.241e-02
17.41024	-122.88106	1.272e-02
17.32520	-123.55880	1.301e-02
17.24310	-124.24151	1.335e-02
17.15607	-124.99073	1.359e-02
17.07829	-125.69523	1.389e-02
17.00709	-126.36011	1.423e-02
16.93076	-127.11269	1.455e-02
16.86039	-127.83060	1.488e-02
16.79369	-128.55077	1.522e-02
16.72300	-129.34515	1.560e-02
16.66124	-130.08221	1.597e-02
16.60272	-130.81926	1.636e-02
16.54215	-131.62079	1.677e-02
16.48787	-132.38109	1.714e-02
16.44024	-133.09152	1.757e-02
16.39195	-133.86249	1.798e-02
16.34437	-134.66570	1.841e-02
16.30192	-135.43120	1.882e-02
18.94805	-179.44112	6.391e-02
19.07186	179.95406	6.465e-02
19.18994	179.39348	6.567e-02
19.33124	178.73929	6.619e-02
19.44280	178.23520	6.720e-02
19.56658	177.69304	6.799e-02
19.71182	177.03076	6.880e-02
19.82785	176.58543	6.970e-02
19.95872	176.05327	7.041e-02
20.07961	175.57114	7.110e-02
20.21945	175.02400	7.178e-02
20.35122	174.52490	7.247e-02
20.49626	173.98808	7.295e-02
20.63353	173.49028	7.342e-02
20.76963	173.00603	7.393e-02
20.90142	172.55013	7.440e-02
21.05659	172.02333	7.500e-02
21.19808	171.55399	7.554e-02
21.33003	171.12384	7.587e-02
21.48652	170.62563	7.597e-02
21.62777	170.18581	7.601e-02
21.77170	169.74820	7.607e-02
21.93085	169.27214	7.615e-02
22.07833	168.83875	7.629e-02
22.22566	168.41592	7.641e-02
22.40094	167.89551	7.647e-02
22.52526	167.57913	7.642e-02
22.67566	167.16994	7.631e-02
22.85494	166.69289	7.610e-02
22.98784	166.34518	7.581e-02
23.14798	165.93275	7.546e-02
23.31562	165.51091	7.518e-02
23.45998	165.15182	7.480e-02
23.61957	164.76353	7.443e-02
23.77942	164.37958	7.401e-02
23.94369	163.99361	7.351e-02
24.10299	163.62486	7.304e-02
24.26521	163.25484	7.239e-02
24.43829	162.86737	7.176e-02
24.59898	162.51323	7.117e-02
24.77202	162.14122	7.048e-02
24.93641	161.79015	6.985e-02
25.10006	161.44751	6.927e-02
25.25637	161.12402	6.855e-02
25.42874	160.77364	6.780e-02
25.59431	160.44275	6.708e-02
25.77523	160.08688	6.613e-02
25.93100	159.78308	6.538e-02
26.10068	159.45834	6.438e-02
26.28671	159.10855	6.352e-02
26.44411	158.81506	6.255e-02
26.61520	158.50279	6.158e-02
26.79715	158.17357	6.054e-02
26.96730	157.87181	5.957e-02
27.13731	157.57291	5.840e-02
27.30780	157.27725	5.772e-02
27.49487	156.95818	5.664e-02
27.66697	156.66954	5.573e-02
27.85584	156.33521	5.479e-02
28.02567	156.07657	5.370e-02
28.20059	155.79364	5.271e-02
28.36265	155.53493	5.163e-02
28.54806	155.24329	5.059e-02
28.72240	154.97072	4.961e-02
28.91142	154.67955	4.843e-02
29.09386	154.40303	4.776e-02
29.25346	154.16339	4.679e-02
29.43999	153.88724	4.597e-02
29.68119	153.51486	4.514e-02
29.80625	153.35234	4.421e-02
29.97267	153.11440	4.325e-02
30.16342	152.84383	4.238e-02
30.34186	152.59419	4.142e-02
30.51902	152.35027	4.046e-02
30.72909	152.06221	3.995e-02
30.88143	151.85567	3.891e-02
31.07164	151.60043	3.811e-02
31.28441	151.30234	3.735e-02
31.44378	151.11186	3.624e-02
31.62638	150.87581	3.562e-02
31.79452	150.66016	3.488e-02
31.97849	150.42755	3.414e-02
32.20954	150.13658	3.327e-02
32.36421	149.94534	3.235e-02
32.53103	149.73975	3.188e-02
32.71500	149.51587	3.113e-02
32.90007	149.29324	3.036e-02
33.15619	148.97205	2.970e-02
33.28728	148.83379	2.899e-02
33.45504	148.63683	2.831e-02
33.65041	148.41011	2.762e-02
33.83385	148.20020	2.693e-02
34.01435	147.99483	2.636e-02
34.19666	147.78828	2.577e-02
34.41164	147.54919	2.513e-02
34.57810	147.36391	2.451e-02
34.76101	147.16385	2.400e-02
34.95807	146.95001	2.354e-02
35.14425	146.74875	2.301e-02
35.32664	146.55388	2.245e-02
35.50214	146.36786	2.196e-02
35.69306	146.16670	2.136e-02
35.89112	145.95973	2.096e-02
36.06214	145.78302	2.051e-02
36.24908	145.59190	2.002e-02
36.44582	145.37668	1.955e-02
36.62799	145.20708	1.891e-02
36.81118	145.02301	1.863e-02
36.99794	144.83669	1.816e-02
37.18483	144.65161	1.773e-02
37.39719	144.43054	1.734e-02
37.56279	144.28215	1.690e-02
37.76357	144.08795	1.656e-02
37.93526	143.92294	1.615e-02
38.12243	143.74380	1.580e-02
38.31539	143.56055	1.542e-02
38.51245	143.37556	1.514e-02
38.70026	143.20032	1.476e-02
38.87346	143.03897	1.438e-02
39.06041	142.86623	1.406e-02
39.25267	142.68890	1.366e-02
39.45210	142.50755	1.340e-02
39.63874	142.33888	1.311e-02
39.81113	142.18260	1.279e-02
40.00800	141.99406	1.252e-02
40.18972	141.84431	1.216e-02
40.37326	141.68155	1.196e-02
40.57409	141.50485	1.169e-02
40.75943	141.34300	1.144e-02
40.96814	141.16016	1.117e-02
41.13971	141.01160	1.090e-02
41.31042	140.86414	1.068e-02
41.49967	140.70157	1.042e-02
41.68668	140.54163	1.021e-02
41.87941	140.37764	9.971e-03
42.06286	140.22227	9.796e-03
42.26351	140.05347	9.543e-03
42.44861	139.89743	9.336e-03
42.62399	139.75063	9.134e-03
42.84390	139.56721	8.883e-03
43.01527	139.42567	8.720e-03
43.19979	139.27333	8.541e-03
43.37371	139.13043	8.342e-03
43.56988	138.95819	8.180e-03
43.75132	138.82103	7.956e-03
43.96739	138.64525	7.834e-03
44.13485	138.50891	7.646e-03
44.31865	138.36122	7.484e-03
44.53836	138.17299	7.315e-03
44.70183	138.05295	7.100e-03
44.88626	137.90538	7.008e-03
45.05788	137.76846	6.848e-03
45.24479	137.61955	6.705e-03
45.48924	137.41563	6.555e-03
45.62020	137.32259	6.438e-03
45.81968	137.16663	6.296e-03
46.00276	137.02267	6.168e-03
46.18842	136.86621	6.037e-03
46.38493	136.72368	5.900e-03
46.55241	136.59337	5.784e-03
46.75136	136.43883	5.655e-03
46.93532	136.29613	5.533e-03
47.11699	136.15540	5.424e-03
47.31300	136.00470	5.308e-03
47.49795	135.86214	5.208e-03
47.68107	135.72197	5.103e-03
47.85533	135.58836	4.987e-03
48.04696	135.44170	4.877e-03
48.22844	135.30389	4.782e-03
48.42722	135.15198	4.686e-03
48.59804	135.02290	4.560e-03
48.79136	134.87639	4.435e-03
48.97279	134.73930	4.345e-03
49.16976	134.59013	4.275e-03
49.33923	134.46280	4.172e-03
49.53463	134.31549	4.075e-03
49.71883	134.16687	4.008e-03
49.89722	134.04291	3.908e-03
50.10908	133.88443	3.866e-03
50.27620	133.75935	3.766e-03
50.45702	133.62415	3.700e-03
50.65788	133.46434	3.629e-03
50.83207	133.34431	3.542e-03
51.01593	133.20741	3.519e-03
51.18454	133.08215	3.438e-03
51.39179	132.92857	3.367e-03
51.59842	132.77609	3.299e-03
51.73692	132.67351	3.225e-03
51.94836	132.51715	3.165e-03
52.10121	132.40436	3.117e-03
52.28441	132.26964	3.059e-03
52.53895	132.07275	2.995e-03
52.65033	131.99968	2.950e-03
52.84498	131.85622	2.902e-03
53.01383	131.73245	2.853e-03
53.20298	131.59373	2.796e-03
53.39326	131.45415	2.734e-03
53.55864	131.33272	2.701e-03
53.74046	131.19958	2.640e-03
53.93015	131.06059	2.585e-03
54.14265	130.89610	2.553e-03
54.28522	130.80061	2.484e-03
54.47816	130.65994	2.453e-03
54.64337	130.53908	2.412e-03
54.82321	130.40730	2.364e-03
55.05872	130.22673	2.331e-03
55.19962	130.13206	2.279e-03
55.36242	130.01344	2.235e-03
55.54149	129.88220	2.192e-03
55.72749	129.74644	2.144e-03
55.93009	129.59843	2.100e-03
56.10847	129.46858	2.080e-03
56.28416	129.33989	2.039e-03
56.44335	129.22296	2.018e-03
56.63720	129.07326	1.988e-03
56.80500	128.95860	1.932e-03
56.98235	128.82921	1.906e-03
57.14450	128.71043	1.887e-03
57.33060	128.57411	1.843e-03
57.53746	128.41371	1.806e-03
57.67593	128.32074	1.781e-03
57.86381	128.18254	1.747e-03
58.03652	128.05594	1.724e-03
58.20158	127.93468	1.696e-03
58.38213	127.80156	1.665e-03
58.55254	127.67581	1.650e-03
58.74000	127.53750	1.619e-03
58.91200	127.41040	1.590e-03
59.08568	127.27381	1.562e-03
59.25363	127.15807	1.534e-03
59.42450	127.03172	1.508e-03
59.59721	126.90301	1.485e-03
59.77087	126.77426	1.463e-03
59.94879	126.64201	1.443e-03
60.11868	126.51571	1.420e-03
60.30301	126.37785	1.397e-03
60.46104	126.25967	1.378e-03
60.64074	126.12561	1.352e-03
60.85818	125.95452	1.333e-03
60.97870	125.87224	1.309e-03
61.14874	125.74417	1.290e-03
61.32941	125.60765	1.257e-03
61.49648	125.48159	1.244e-03
61.66370	125.35486	1.231e-03
61.84269	125.21955	1.217e-03
62.00097	125.09909	1.205e-03
62.17981	124.96306	1.179e-03
62.36397	124.81468	1.158e-03
62.51266	124.70882	1.131e-03
62.67830	124.58180	1.115e-03
62.84686	124.45231	1.102e-03
63.02423	124.31600	1.078e-03
63.18903	124.18881	1.071e-03
63.36621	124.05173	1.054e-03
63.53362	123.92196	1.038e-03
89.95075	60.77569	-5.540e-06
89.89596	60.58795	7.209e-06
89.84155	60.40316	3.064e-06
89.77627	60.18483	2.163e-06
89.72486	60.01527	-7.349e-07
89.66820	59.82934	5.968e-06
89.60674	59.61774	-1.818e-06
89.55273	59.45921	2.329e-06
89.49425	59.27429	-5.445e-06
89.42950	59.07235	1.137e-06
89.36938	58.88693	7.019e-06
89.29402	58.64380	4.353e-06
89.24804	58.51781	6.243e-06
89.18610	58.33269	5.027e-06
89.12199	58.14341	6.151e-06
89.05803	57.95638	-6.710e-07
88.99216	57.76446	5.677e-06
88.92820	57.58120	2.792e-06
88.85743	57.38029	6.424e-06
88.79180	57.19583	3.718e-06
88.72166	56.98721	2.140e-06
88.65498	56.81731	3.590e-06
88.59270	56.64734	7.500e-06
88.52342	56.45978	3.029e-06
88.45399	56.27375	5.865e-06
88.37057	56.03957	1.314e-06
88.31242	55.89919	5.941e-06
88.23588	55.70010	-2.722e-07
88.16496	55.51736	-9.516e-08
88.09427	55.33542	-4.247e-06
88.01803	55.14163	-2.097e-06
87.95034	54.97048	4.305e-07
87.87625	54.78609	9.069e-06
87.77566	54.49617	1.091e-05
87.71850	54.39583	4.080e-06
87.64829	54.22514	9.410e-06
87.55444	53.98475	6.519e-06
87.49030	53.84405	1.129e-05
87.41451	53.66315	1.626e-05
87.32505	53.44004	1.361e-05
87.25401	53.28562	1.117e-05
87.18216	53.11909	1.799e-05
87.09667	52.92117	1.661e-05
87.01716	52.73876	1.552e-05
86.92443	52.51633	2.311e-05
86.85764	52.37781	2.150e-05
86.77650	52.19576	2.123e-05
86.68704	51.99639	2.504e-05
86.60998	51.82571	2.423e-05
86.52407	51.63705	2.078e-05
86.44133	51.45686	1.965e-05
86.35047	51.25938	2.802e-05
86.26616	51.07876	2.227e-05
86.18264	50.88805	2.614e-05
86.09624	50.71639	1.969e-05
86.01047	50.53683	2.395e-05
85.91724	50.34067	2.353e-05
85.83472	50.16963	2.939e-05
85.73641	49.95458	2.904e-05
85.64790	49.78421	2.886e-05
85.56770	49.62038	2.738e-05
85.47648	49.43596	2.333e-05
85.38575	49.25301	2.646e-05
85.26885	49.00613	2.694e-05
85.19301	48.86815	3.509e-05
85.10235	48.68829	3.374e-05
85.01653	48.51957	2.613e-05
84.91914	48.32893	2.928e-05
84.82713	48.15011	3.723e-05
84.72639	47.95560	3.456e-05
84.63264	47.77491	2.978e-05
84.54435	47.60530	3.241e-05
84.44589	47.40712	3.711e-05
84.34814	47.23354	3.676e-05
84.25507	47.05880	3.203e-05
84.15056	46.86362	3.498e-05
84.05406	46.68430	3.371e-05
83.95775	46.50645	4.010e-05
83.85290	46.31366	3.844e-05
83.75267	46.13129	3.792e-05
83.66223	45.96599	4.092e-05
83.56166	45.78448	4.421e-05
83.45796	45.59758	4.108e-05
83.35075	45.40605	4.099e-05
83.25762	45.24052	4.703e-05
83.15577	45.06008	4.179e-05
83.05290	44.87907	4.229e-05
82.94765	44.69477	4.682e-05
82.84570	44.51665	4.578e-05
82.74205	44.33660	4.889e-05
82.63797	44.15664	4.031e-05
82.52129	43.94553	4.828e-05
82.41885	43.78147	4.798e-05
82.32230	43.61816	5.222e-05
82.21578	43.43719	5.581e-05
82.10366	43.24825	5.189e-05
81.98098	43.03079	6.528e-05
81.88406	42.88078	5.159e-05
81.77853	42.70493	5.403e-05
81.67870	42.53929	4.922e-05
81.57001	42.36098	5.492e-05
